RIL_Start,end,name,score,strand,file
NC_029259.1_27011581,27011584,mPing|non-reference|NA|A123-0_1|relocate2|sr|200,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_27056953,27056956,mPing|non-reference|NA|A123-0_1|relocate2|sr|201,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_27129771,27129774,mPing|non-reference|NA|A123-0_1|relocate2|sr|202,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_27376604,27376607,mPing|non-reference|NA|A123-0_1|relocate2|sr|203,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_27782487,27782490,mPing|non-reference|NA|A123-0_1|relocate2|sr|204,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_27882541,27882544,mPing|non-reference|NA|A123-0_1|relocate2|sr|205,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_28059607,28059610,mPing|non-reference|NA|A123-0_1|relocate2|sr|206,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_28083323,28083326,mPing|non-reference|NA|A123-0_1|relocate2|sr|207,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_28148000,28148003,mPing|non-reference|NA|A123-0_1|relocate2|sr|208,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_28749936,28749939,mPing|non-reference|NA|A123-0_1|relocate2|sr|209,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_28828615,28828618,mPing|non-reference|NA|A123-0_1|relocate2|sr|210,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_29357077,29357080,mPing|non-reference|NA|A123-0_1|relocate2|sr|211,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_29593703,29593706,mPing|non-reference|NA|A123-0_1|relocate2|sr|212,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_29593844,29593847,mPing|non-reference|NA|A123-0_1|relocate2|sr|213,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_30177169,30177172,mPing|non-reference|NA|A123-0_1|relocate2|sr|214,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_31426319,31426322,mPing|non-reference|NA|A123-0_1|relocate2|sr|215,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_31930920,31930923,mPing|non-reference|NA|A123-0_1|relocate2|sr|216,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_32885739,32885742,mPing|non-reference|NA|A123-0_1|relocate2|sr|217,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_33800276,33800279,mPing|non-reference|NA|A123-0_1|relocate2|sr|218,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_34225549,34225551,mPing|non-reference|NA|A123-0_1|relocate2|sr|219,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_34623829,34623832,mPing|non-reference|NA|A123-0_1|relocate2|sr|220,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_34687258,34687261,mPing|non-reference|NA|A123-0_1|relocate2|sr|221,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_34746362,34746365,mPing|non-reference|NA|A123-0_1|relocate2|sr|222,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_34928351,34928354,mPing|non-reference|NA|A123-0_1|relocate2|sr|223,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_35422283,35422286,mPing|non-reference|NA|A123-0_1|relocate2|sr|224,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_171252,171255,mPing|non-reference|NA|A123-0_1|relocate2|sr|225,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_334871,334874,mPing|non-reference|NA|A123-0_1|relocate2|sr|226,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_898444,898447,mPing|non-reference|NA|A123-0_1|relocate2|sr|227,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_2162851,2162854,mPing|non-reference|NA|A123-0_1|relocate2|sr|228,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_5878602,5878605,mPing|non-reference|NA|A123-0_1|relocate2|sr|229,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_6205185,6205188,mPing|non-reference|NA|A123-0_1|relocate2|sr|230,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_6663444,6663447,mPing|non-reference|NA|A123-0_1|relocate2|sr|231,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_7250281,7250284,mPing|non-reference|NA|A123-0_1|relocate2|sr|232,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_10723804,10723807,mPing|non-reference|NA|A123-0_1|relocate2|sr|233,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_13976475,13976478,mPing|non-reference|NA|A123-0_1|relocate2|sr|234,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_16788400,16788403,mPing|non-reference|NA|A123-0_1|relocate2|sr|235,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_17573162,17573165,mPing|non-reference|NA|A123-0_1|relocate2|sr|236,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_17983773,17983776,mPing|non-reference|NA|A123-0_1|relocate2|sr|237,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_18687308,18687311,mPing|non-reference|NA|A123-0_1|relocate2|sr|238,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_18695565,18695568,mPing|non-reference|NA|A123-0_1|relocate2|sr|239,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_18960104,18960107,mPing|non-reference|NA|A123-0_1|relocate2|sr|240,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_19041506,19041509,mPing|non-reference|NA|A123-0_1|relocate2|sr|241,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_20247963,20247966,mPing|non-reference|NA|A123-0_1|relocate2|sr|242,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_20301998,20302001,mPing|non-reference|NA|A123-0_1|relocate2|sr|243,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_21321063,21321066,mPing|non-reference|NA|A123-0_1|relocate2|sr|244,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_21678134,21678137,mPing|non-reference|NA|A123-0_1|relocate2|sr|245,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_22244054,22244057,mPing|non-reference|NA|A123-0_1|relocate2|sr|246,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_22595014,22595017,mPing|non-reference|NA|A123-0_1|relocate2|sr|247,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_22645235,22645238,mPing|non-reference|NA|A123-0_1|relocate2|sr|248,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_23105411,23105414,mPing|non-reference|NA|A123-0_1|relocate2|sr|249,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_23257990,23257993,mPing|non-reference|NA|A123-0_1|relocate2|sr|250,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_26931223,26931226,mPing|non-reference|NA|A123-0_1|relocate2|sr|251,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_27073211,27073214,mPing|non-reference|NA|A123-0_1|relocate2|sr|252,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_27123801,27123804,mPing|non-reference|NA|A123-0_1|relocate2|sr|253,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_27495105,27495108,mPing|non-reference|NA|A123-0_1|relocate2|sr|254,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_28384596,28384599,mPing|non-reference|NA|A123-0_1|relocate2|sr|255,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_28592208,28592211,mPing|non-reference|NA|A123-0_1|relocate2|sr|256,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_28811998,28812001,mPing|non-reference|NA|A123-0_1|relocate2|sr|257,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029260.1_29636516,29636519,mPing|non-reference|NA|A123-0_1|relocate2|sr|258,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_227472,227475,mPing|non-reference|NA|A123-0_1|relocate2|sr|259,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_1543420,1543423,mPing|non-reference|NA|A123-0_1|relocate2|sr|260,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_2035334,2035337,mPing|non-reference|NA|A123-0_1|relocate2|sr|261,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_2037771,2037774,mPing|non-reference|NA|A123-0_1|relocate2|sr|262,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_2855292,2855295,mPing|non-reference|NA|A123-0_1|relocate2|sr|263,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_3808396,3808399,mPing|non-reference|NA|A123-0_1|relocate2|sr|264,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_4093155,4093158,mPing|non-reference|NA|A123-0_1|relocate2|sr|265,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_6018184,6018187,mPing|non-reference|NA|A123-0_1|relocate2|sr|266,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_7003294,7003297,mPing|non-reference|NA|A123-0_1|relocate2|sr|267,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_7240933,7240936,mPing|non-reference|NA|A123-0_1|relocate2|sr|268,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_7628081,7628084,mPing|non-reference|NA|A123-0_1|relocate2|sr|269,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_8173157,8173160,mPing|non-reference|NA|A123-0_1|relocate2|sr|270,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_8183198,8183201,mPing|non-reference|NA|A123-0_1|relocate2|sr|271,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_8850088,8850091,mPing|non-reference|NA|A123-0_1|relocate2|sr|272,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_9336295,9336298,mPing|non-reference|NA|A123-0_1|relocate2|sr|273,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_10144769,10144772,mPing|non-reference|NA|A123-0_1|relocate2|sr|274,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_11295784,11295787,mPing|non-reference|NA|A123-0_1|relocate2|sr|275,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_11552864,11552867,mPing|non-reference|NA|A123-0_1|relocate2|sr|276,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_14533007,14533010,mPing|non-reference|NA|A123-0_1|relocate2|sr|277,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_15895797,15895800,mPing|non-reference|NA|A123-0_1|relocate2|sr|278,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_17068637,17068640,mPing|non-reference|NA|A123-0_1|relocate2|sr|279,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_17290334,17290337,mPing|non-reference|NA|A123-0_1|relocate2|sr|280,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_19875147,19875150,mPing|non-reference|NA|A123-0_1|relocate2|sr|281,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_20051106,20051109,mPing|non-reference|NA|A123-0_1|relocate2|sr|282,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_20709176,20709179,mPing|non-reference|NA|A123-0_1|relocate2|sr|283,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_21447643,21447646,mPing|non-reference|NA|A123-0_1|relocate2|sr|284,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_21861157,21861160,mPing|non-reference|NA|A123-0_1|relocate2|sr|285,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_22181553,22181556,mPing|non-reference|NA|A123-0_1|relocate2|sr|286,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_23366776,23366779,mPing|non-reference|NA|A123-0_1|relocate2|sr|287,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_23888836,23888839,mPing|non-reference|NA|A123-0_1|relocate2|sr|288,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_23960300,23960303,mPing|non-reference|NA|A123-0_1|relocate2|sr|289,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_24309353,24309356,mPing|non-reference|NA|A123-0_1|relocate2|sr|290,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_24358871,24358874,mPing|non-reference|NA|A123-0_1|relocate2|sr|291,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_24738717,24738720,mPing|non-reference|NA|A123-0_1|relocate2|sr|292,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_25121076,25121079,mPing|non-reference|NA|A123-0_1|relocate2|sr|293,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_25271452,25271455,mPing|non-reference|NA|A123-0_1|relocate2|sr|294,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_25941375,25941378,mPing|non-reference|NA|A123-0_1|relocate2|sr|295,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_26067398,26067401,mPing|non-reference|NA|A123-0_1|relocate2|sr|296,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_26397557,26397560,mPing|non-reference|NA|A123-0_1|relocate2|sr|297,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_26750778,26750781,mPing|non-reference|NA|A123-0_1|relocate2|sr|298,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_27249221,27249224,mPing|non-reference|NA|A123-0_1|relocate2|sr|299,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_27838561,27838564,mPing|non-reference|NA|A123-0_1|relocate2|sr|300,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_28128926,28128929,mPing|non-reference|NA|A123-0_1|relocate2|sr|301,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_29801346,29801349,mPing|non-reference|NA|A123-0_1|relocate2|sr|302,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_30122819,30122822,mPing|non-reference|NA|A123-0_1|relocate2|sr|303,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029261.1_31117136,31117139,mPing|non-reference|NA|A123-0_1|relocate2|sr|304,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_1246394,1246397,mPing|non-reference|NA|A123-0_1|relocate2|sr|305,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_1765517,1765520,mPing|non-reference|NA|A123-0_1|relocate2|sr|306,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_1788057,1788060,mPing|non-reference|NA|A123-0_1|relocate2|sr|307,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_1924669,1924672,mPing|non-reference|NA|A123-0_1|relocate2|sr|308,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_3580864,3580867,mPing|non-reference|NA|A123-0_1|relocate2|sr|309,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_3789570,3789573,mPing|non-reference|NA|A123-0_1|relocate2|sr|310,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_3981857,3981860,mPing|non-reference|NA|A123-0_1|relocate2|sr|311,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_4528886,4528889,mPing|non-reference|NA|A123-0_1|relocate2|sr|312,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_7541939,7541942,mPing|non-reference|NA|A123-0_1|relocate2|sr|313,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_8541854,8541857,mPing|non-reference|NA|A123-0_1|relocate2|sr|314,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_8545936,8545939,mPing|non-reference|NA|A123-0_1|relocate2|sr|315,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_16258988,16258991,mPing|non-reference|NA|A123-0_1|relocate2|sr|316,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_16346850,16346853,mPing|non-reference|NA|A123-0_1|relocate2|sr|317,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_17676175,17676178,mPing|non-reference|NA|A123-0_1|relocate2|sr|318,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_18059490,18059493,mPing|non-reference|NA|A123-0_1|relocate2|sr|319,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_18616401,18616404,mPing|non-reference|NA|A123-0_1|relocate2|sr|320,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_19446274,19446277,mPing|non-reference|NA|A123-0_1|relocate2|sr|321,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_20587125,20587128,mPing|non-reference|NA|A123-0_1|relocate2|sr|322,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_20612318,20612321,mPing|non-reference|NA|A123-0_1|relocate2|sr|323,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_22525619,22525622,mPing|non-reference|NA|A123-0_1|relocate2|sr|324,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_23220760,23220763,mPing|non-reference|NA|A123-0_1|relocate2|sr|325,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_24315404,24315407,mPing|non-reference|NA|A123-0_1|relocate2|sr|326,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_24752172,24752175,mPing|non-reference|NA|A123-0_1|relocate2|sr|327,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_25319824,25319827,mPing|non-reference|NA|A123-0_1|relocate2|sr|328,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_25542893,25542896,mPing|non-reference|NA|A123-0_1|relocate2|sr|329,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_26909813,26909816,mPing|non-reference|NA|A123-0_1|relocate2|sr|330,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_27443315,27443318,mPing|non-reference|NA|A123-0_1|relocate2|sr|331,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_29154624,29154627,mPing|non-reference|NA|A123-0_1|relocate2|sr|332,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_29460820,29460823,mPing|non-reference|NA|A123-0_1|relocate2|sr|333,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029262.1_29484348,29484351,mPing|non-reference|NA|A123-0_1|relocate2|sr|334,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_8652,8655,mPing|non-reference|NA|A123-0_1|relocate2|sr|335,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_763040,763043,mPing|non-reference|NA|A123-0_1|relocate2|sr|336,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_1015024,1015027,mPing|non-reference|NA|A123-0_1|relocate2|sr|337,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_2252478,2252481,mPing|non-reference|NA|A123-0_1|relocate2|sr|338,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_2433354,2433357,mPing|non-reference|NA|A123-0_1|relocate2|sr|339,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_4893418,4893421,mPing|non-reference|NA|A123-0_1|relocate2|sr|340,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_8939726,8939729,mPing|non-reference|NA|A123-0_1|relocate2|sr|341,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_10729276,10729279,mPing|non-reference|NA|A123-0_1|relocate2|sr|342,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_11774718,11774721,mPing|non-reference|NA|A123-0_1|relocate2|sr|343,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_19456158,19456161,mPing|non-reference|NA|A123-0_1|relocate2|sr|344,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_19671059,19671062,mPing|non-reference|NA|A123-0_1|relocate2|sr|345,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_19840875,19840878,mPing|non-reference|NA|A123-0_1|relocate2|sr|346,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_20130311,20130314,mPing|non-reference|NA|A123-0_1|relocate2|sr|347,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_20628371,20628374,mPing|non-reference|NA|A123-0_1|relocate2|sr|348,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_21038864,21038867,mPing|non-reference|NA|A123-0_1|relocate2|sr|349,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_21236816,21236819,mPing|non-reference|NA|A123-0_1|relocate2|sr|350,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_21266283,21266286,mPing|non-reference|NA|A123-0_1|relocate2|sr|351,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_21303491,21303494,mPing|non-reference|NA|A123-0_1|relocate2|sr|352,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_21582221,21582224,mPing|non-reference|NA|A123-0_1|relocate2|sr|353,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_23289526,23289529,mPing|non-reference|NA|A123-0_1|relocate2|sr|354,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_23612059,23612062,mPing|non-reference|NA|A123-0_1|relocate2|sr|355,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_23621524,23621527,mPing|non-reference|NA|A123-0_1|relocate2|sr|356,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_23643361,23643364,mPing|non-reference|NA|A123-0_1|relocate2|sr|357,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_24175360,24175363,mPing|non-reference|NA|A123-0_1|relocate2|sr|358,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_24622993,24622996,mPing|non-reference|NA|A123-0_1|relocate2|sr|359,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_24881079,24881082,mPing|non-reference|NA|A123-0_1|relocate2|sr|360,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_26430164,26430167,mPing|non-reference|NA|A123-0_1|relocate2|sr|361,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_26492492,26492495,mPing|non-reference|NA|A123-0_1|relocate2|sr|362,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_26602700,26602703,mPing|non-reference|NA|A123-0_1|relocate2|sr|363,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_27152477,27152480,mPing|non-reference|NA|A123-0_1|relocate2|sr|364,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_27345072,27345075,mPing|non-reference|NA|A123-0_1|relocate2|sr|365,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_27491665,27491668,mPing|non-reference|NA|A123-0_1|relocate2|sr|366,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_27839011,27839014,mPing|non-reference|NA|A123-0_1|relocate2|sr|367,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_28049379,28049382,mPing|non-reference|NA|A123-0_1|relocate2|sr|368,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_28264255,28264258,mPing|non-reference|NA|A123-0_1|relocate2|sr|369,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029263.1_28359810,28359813,mPing|non-reference|NA|A123-0_1|relocate2|sr|370,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029264.1_6735981,6735984,mPing|non-reference|NA|A123-0_1|relocate2|sr|371,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029264.1_10338430,10338433,mPing|non-reference|NA|A123-0_1|relocate2|sr|372,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029264.1_12538484,12538487,mPing|non-reference|NA|A123-0_1|relocate2|sr|373,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029264.1_12812945,12812948,mPing|non-reference|NA|A123-0_1|relocate2|sr|374,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029264.1_13755558,13755561,mPing|non-reference|NA|A123-0_1|relocate2|sr|375,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029264.1_15710873,15710876,mPing|non-reference|NA|A123-0_1|relocate2|sr|376,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029264.1_16182068,16182071,mPing|non-reference|NA|A123-0_1|relocate2|sr|377,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029264.1_16865569,16865572,mPing|non-reference|NA|A123-0_1|relocate2|sr|378,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029264.1_17091700,17091703,mPing|non-reference|NA|A123-0_1|relocate2|sr|379,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029264.1_17343760,17343763,mPing|non-reference|NA|A123-0_1|relocate2|sr|380,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029264.1_17908907,17908910,mPing|non-reference|NA|A123-0_1|relocate2|sr|381,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029264.1_18354396,18354399,mPing|non-reference|NA|A123-0_1|relocate2|sr|382,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029264.1_19637390,19637393,mPing|non-reference|NA|A123-0_1|relocate2|sr|383,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029264.1_19950388,19950391,mPing|non-reference|NA|A123-0_1|relocate2|sr|384,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029264.1_19950662,19950665,mPing|non-reference|NA|A123-0_1|relocate2|sr|385,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029264.1_20250174,20250177,mPing|non-reference|NA|A123-0_1|relocate2|sr|386,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029264.1_20804029,20804032,mPing|non-reference|NA|A123-0_1|relocate2|sr|387,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029265.1_664875,664878,mPing|non-reference|NA|A123-0_1|relocate2|sr|388,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029265.1_1267743,1267746,mPing|non-reference|NA|A123-0_1|relocate2|sr|389,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029265.1_2990544,2990547,mPing|non-reference|NA|A123-0_1|relocate2|sr|390,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029265.1_5464812,5464815,mPing|non-reference|NA|A123-0_1|relocate2|sr|391,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029265.1_10579471,10579474,mPing|non-reference|NA|A123-0_1|relocate2|sr|392,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029265.1_11609959,11609962,mPing|non-reference|NA|A123-0_1|relocate2|sr|393,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029265.1_12054351,12054354,mPing|non-reference|NA|A123-0_1|relocate2|sr|394,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029265.1_14181188,14181191,mPing|non-reference|NA|A123-0_1|relocate2|sr|395,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029265.1_15143402,15143405,mPing|non-reference|NA|A123-0_1|relocate2|sr|396,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029265.1_15522562,15522565,mPing|non-reference|NA|A123-0_1|relocate2|sr|397,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029265.1_15844226,15844229,mPing|non-reference|NA|A123-0_1|relocate2|sr|398,0,+,A123-0_1_relocate2_nonredundant.bed
