RIL2_2,RIL2_8,RIL2_3,EG4-1,RIL2_6,RIL2_1-8,RIL2_4,RIL2_7,RIL2_5,A123-0,RIL2_1
NC_029260.1_226599,NC_029259.1_29941294,NC_029260.1_15586257,NC_029258.1_34077805,NC_029258.1_24919851,NC_029260.1_2916712,NC_029258.1_35141440,NC_029259.1_30325702,NC_029260.1_13976475,NC_029261.1_7628081,NC_029260.1_2916712
NC_029260.1_646583,NC_029259.1_30320687,NC_029260.1_15698448,NC_029258.1_34107487,NC_029258.1_25909655,NC_029260.1_4248931,NC_029259.1_263571,NC_029259.1_30513996,NC_029260.1_15210681,NC_029261.1_8173157,NC_029260.1_4248931
NC_029260.1_898444,NC_029259.1_30513996,NC_029260.1_16355428,NC_029258.1_34361762,NC_029258.1_26753250,NC_029260.1_4249077,NC_029259.1_476045,NC_029259.1_31387730,NC_029260.1_15655520,NC_029261.1_8183198,NC_029260.1_4249077
NC_029260.1_1736704,NC_029259.1_31387730,NC_029260.1_16364135,NC_029258.1_34774768,NC_029258.1_26818947,NC_029260.1_5370458,NC_029259.1_1914395,NC_029259.1_31674845,NC_029260.1_16258074,NC_029261.1_8850088,NC_029260.1_5370458
NC_029260.1_2348557,NC_029259.1_31674845,NC_029260.1_16615711,NC_029258.1_35894894,NC_029258.1_27769329,NC_029260.1_6164427,NC_029259.1_2030407,NC_029259.1_31677001,NC_029260.1_16788400,NC_029261.1_9336295,NC_029260.1_6164427
NC_029260.1_4074600,NC_029259.1_31677001,NC_029260.1_16788406,NC_029258.1_35945978,NC_029258.1_28019799,NC_029260.1_7439410,NC_029259.1_2471257,NC_029259.1_31710776,NC_029260.1_17983773,NC_029261.1_10144769,NC_029260.1_7439410
NC_029260.1_5806594,NC_029259.1_31997419,NC_029260.1_17519858,NC_029258.1_36156326,NC_029258.1_28088458,NC_029260.1_10234682,NC_029259.1_5127639,NC_029259.1_31997419,NC_029260.1_18693567,NC_029261.1_11295784,NC_029260.1_10234682
NC_029260.1_5878602,NC_029259.1_32326934,NC_029260.1_17713717,NC_029259.1_1877632,NC_029258.1_28365656,NC_029260.1_13976475,NC_029259.1_5158212,NC_029259.1_32326934,NC_029260.1_19143341,NC_029261.1_11552864,NC_029260.1_13976475
NC_029260.1_6164427,NC_029259.1_33017280,NC_029260.1_17983773,NC_029259.1_5214492,NC_029258.1_28490253,NC_029260.1_16343030,NC_029259.1_11379279,NC_029259.1_33094033,NC_029260.1_19739424,NC_029261.1_14533007,NC_029260.1_16343030
NC_029260.1_6663444,NC_029259.1_33094033,NC_029260.1_18695568,NC_029259.1_6058783,NC_029258.1_28622166,NC_029260.1_16383589,NC_029259.1_11690712,NC_029259.1_33507342,NC_029260.1_19961219,NC_029261.1_15895797,NC_029260.1_16383589
NC_029260.1_8004100,NC_029259.1_33182329,NC_029260.1_18960104,NC_029259.1_7389412,NC_029258.1_29218955,NC_029260.1_16788403,NC_029259.1_13471890,NC_029259.1_33861549,NC_029260.1_20117984,NC_029261.1_17068637,NC_029260.1_16788403
NC_029260.1_10234682,NC_029259.1_33507342,NC_029260.1_19041506,NC_029259.1_11690712,NC_029258.1_29404857,NC_029260.1_17983773,NC_029259.1_15070774,NC_029259.1_33968509,NC_029260.1_20411575,NC_029261.1_17290334,NC_029260.1_17983773
NC_029260.1_13371628,NC_029259.1_33861549,NC_029260.1_19725365,NC_029259.1_13285705,NC_029258.1_29404900,NC_029260.1_18695565,NC_029259.1_18566523,NC_029259.1_35045349,NC_029260.1_21321182,NC_029261.1_19875147,NC_029260.1_18695565
NC_029260.1_13976475,NC_029259.1_35045349,NC_029260.1_19775167,NC_029259.1_13471890,NC_029258.1_30056317,NC_029260.1_18960104,NC_029259.1_18966180,NC_029259.1_35244613,NC_029260.1_21633281,NC_029261.1_20051106,NC_029260.1_18960104
NC_029260.1_16788400,NC_029259.1_35244613,NC_029260.1_21321063,NC_029259.1_15070774,NC_029258.1_30605133,NC_029260.1_19034903,NC_029259.1_19359151,NC_029259.1_35422418,NC_029260.1_22027348,NC_029261.1_20709176,NC_029260.1_19034903
NC_029260.1_17983773,NC_029259.1_35422418,NC_029260.1_21678134,NC_029259.1_18566523,NC_029258.1_30784686,NC_029260.1_19041506,NC_029259.1_19471781,NC_029260.1_226599,NC_029260.1_22056643,NC_029261.1_21447643,NC_029260.1_19041506
NC_029260.1_18028707,NC_029260.1_226599,NC_029260.1_22645235,NC_029259.1_19359151,NC_029258.1_31364756,NC_029260.1_20051104,NC_029259.1_19922772,NC_029260.1_772693,NC_029260.1_22131757,NC_029261.1_21861157,NC_029260.1_20051104
NC_029260.1_19143341,NC_029260.1_646580,NC_029260.1_22929720,NC_029259.1_19471781,NC_029258.1_31475500,NC_029260.1_20159531,NC_029259.1_19999251,NC_029260.1_1441038,NC_029260.1_22572443,NC_029261.1_22181553,NC_029260.1_20159531
NC_029260.1_19808128,NC_029260.1_772693,NC_029260.1_23257990,NC_029259.1_19510849,NC_029258.1_31662046,NC_029260.1_20163985,NC_029259.1_20249931,NC_029260.1_1657101,NC_029260.1_22646608,NC_029261.1_23366776,NC_029260.1_20163985
NC_029260.1_19961219,NC_029260.1_1194953,NC_029260.1_25474860,NC_029259.1_19922772,NC_029258.1_31683284,NC_029260.1_20301998,NC_029259.1_20660225,NC_029260.1_2289996,NC_029260.1_23257993,NC_029261.1_23888836,NC_029260.1_20301998
NC_029260.1_20117984,NC_029260.1_1441038,NC_029260.1_25536623,NC_029259.1_19988237,NC_029258.1_31851811,NC_029260.1_21321063,NC_029259.1_21600766,NC_029260.1_4248931,NC_029260.1_25952731,NC_029261.1_23960300,NC_029260.1_21321063
NC_029260.1_20323602,NC_029260.1_1561869,NC_029260.1_25546565,NC_029259.1_19999251,NC_029258.1_31890842,NC_029260.1_21606697,NC_029259.1_21673100,NC_029260.1_4249077,NC_029260.1_26765689,NC_029261.1_24309353,NC_029260.1_21606697
NC_029260.1_20420994,NC_029260.1_1879838,NC_029260.1_26247574,NC_029259.1_20249931,NC_029258.1_32923409,NC_029260.1_21678134,NC_029259.1_21998763,NC_029260.1_5370455,NC_029260.1_27073211,NC_029261.1_24358871,NC_029260.1_21678134
NC_029260.1_21620539,NC_029260.1_2289996,NC_029260.1_27764121,NC_029259.1_21602062,NC_029258.1_33345952,NC_029260.1_22645235,NC_029259.1_23198999,NC_029260.1_6164427,NC_029260.1_27093313,NC_029261.1_24738717,NC_029260.1_22645235
NC_029260.1_21633281,NC_029260.1_2358684,NC_029260.1_27853709,NC_029259.1_21673100,NC_029258.1_33362075,NC_029260.1_23257990,NC_029259.1_23439375,NC_029260.1_11471478,NC_029260.1_27123801,NC_029261.1_25121076,NC_029260.1_23257990
NC_029260.1_22056643,NC_029260.1_3321326,NC_029260.1_28151163,NC_029259.1_21832417,NC_029258.1_34077805,NC_029260.1_23398861,NC_029259.1_23551668,NC_029260.1_14017476,NC_029260.1_27602381,NC_029261.1_25271452,NC_029260.1_23398861
NC_029260.1_22246309,NC_029260.1_5878602,NC_029260.1_28876021,NC_029259.1_21998763,NC_029258.1_34110946,NC_029260.1_23499075,NC_029259.1_23571129,NC_029260.1_14154609,NC_029260.1_28384596,NC_029261.1_25941375,NC_029260.1_23499075
NC_029260.1_22646608,NC_029260.1_6548206,NC_029260.1_28878791,NC_029259.1_22198162,NC_029258.1_34459502,NC_029260.1_24446370,NC_029259.1_23625773,NC_029260.1_14625557,NC_029260.1_28592208,NC_029261.1_26067398,NC_029260.1_24446370
NC_029260.1_23257993,NC_029260.1_6663444,NC_029260.1_28927630,NC_029259.1_23198999,NC_029258.1_34570540,NC_029260.1_24649159,NC_029259.1_24208720,NC_029260.1_14652034,NC_029260.1_28811998,NC_029261.1_26397557,NC_029260.1_24649159
NC_029260.1_23730901,NC_029260.1_7296221,NC_029260.1_29753426,NC_029259.1_23342823,NC_029258.1_34733061,NC_029260.1_27073214,NC_029259.1_24285199,NC_029260.1_14654627,NC_029260.1_29636516,NC_029261.1_26750778,NC_029260.1_27073214
NC_029260.1_24878621,NC_029260.1_10234682,NC_029261.1_844778,NC_029259.1_23439375,NC_029258.1_35001686,NC_029260.1_27123801,NC_029259.1_24921463,NC_029260.1_14878343,NC_029261.1_227472,NC_029261.1_27249221,NC_029260.1_27123801
NC_029260.1_25474860,NC_029260.1_13383775,NC_029261.1_986516,NC_029259.1_23564792,NC_029258.1_35141440,NC_029260.1_27986972,NC_029259.1_25029909,NC_029260.1_14878711,NC_029261.1_1543420,NC_029261.1_27838561,NC_029260.1_27986972
NC_029260.1_25536620,NC_029260.1_14154609,NC_029261.1_1521969,NC_029259.1_23571129,NC_029258.1_35393351,NC_029260.1_28024211,NC_029259.1_26020116,NC_029260.1_15210312,NC_029261.1_2035334,NC_029261.1_28128926,NC_029260.1_28024211
NC_029260.1_25546565,NC_029260.1_14625560,NC_029261.1_1793054,NC_029259.1_23585578,NC_029259.1_171768,NC_029260.1_28384596,NC_029259.1_26222793,NC_029260.1_15213005,NC_029261.1_2306911,NC_029261.1_29801346,NC_029260.1_28384596
NC_029260.1_26247574,NC_029260.1_14652034,NC_029261.1_1828572,NC_029259.1_24089600,NC_029259.1_476045,NC_029260.1_28592208,NC_029259.1_26226575,NC_029260.1_15488459,NC_029261.1_2856375,NC_029261.1_30122819,NC_029260.1_28592208
NC_029260.1_27602381,NC_029260.1_14654627,NC_029261.1_2035334,NC_029259.1_24089809,NC_029259.1_1877635,NC_029260.1_28670921,NC_029259.1_26908702,NC_029260.1_15586257,NC_029261.1_3811309,NC_029261.1_31117136,NC_029260.1_28670921
NC_029260.1_27853706,NC_029260.1_14875956,NC_029261.1_2856375,NC_029259.1_24101202,NC_029259.1_2224342,NC_029260.1_28811998,NC_029259.1_26970052,NC_029260.1_15698448,NC_029261.1_4093155,NC_029262.1_1246394,NC_029260.1_28811998
NC_029260.1_28151163,NC_029260.1_14878343,NC_029261.1_3808396,NC_029259.1_24208720,NC_029259.1_2471260,NC_029260.1_29075875,NC_029259.1_26982347,NC_029260.1_16258074,NC_029261.1_4197488,NC_029262.1_1765517,NC_029260.1_29075875
NC_029260.1_28592208,NC_029260.1_14878711,NC_029261.1_4093155,NC_029259.1_25029909,NC_029259.1_5314891,NC_029260.1_29472574,NC_029259.1_27475744,NC_029260.1_16355425,NC_029261.1_4729736,NC_029262.1_1788057,NC_029260.1_29472574
NC_029260.1_28811998,NC_029260.1_15213005,NC_029261.1_4729739,NC_029259.1_25771128,NC_029259.1_9332085,NC_029260.1_29589767,NC_029259.1_27543619,NC_029260.1_16364135,NC_029261.1_5541977,NC_029262.1_1924669,NC_029260.1_29589767
NC_029260.1_29636516,NC_029260.1_15488459,NC_029261.1_6848915,NC_029259.1_26020116,NC_029259.1_12589162,NC_029260.1_29636516,NC_029259.1_28289922,NC_029260.1_16615711,NC_029261.1_5711664,NC_029262.1_3580864,NC_029260.1_29636516
NC_029261.1_844778,NC_029260.1_15586257,NC_029261.1_7690781,NC_029259.1_26451868,NC_029259.1_12679020,NC_029261.1_227472,NC_029259.1_28739796,NC_029260.1_17752993,NC_029261.1_6151041,NC_029262.1_3789570,NC_029261.1_227472
NC_029261.1_986513,NC_029260.1_15698448,NC_029261.1_8042612,NC_029259.1_26982347,NC_029259.1_14006528,NC_029261.1_830991,NC_029259.1_28903395,NC_029260.1_19143338,NC_029261.1_6168611,NC_029262.1_3981857,NC_029261.1_830991
NC_029261.1_1397517,NC_029260.1_16258074,NC_029261.1_11552864,NC_029259.1_27475744,NC_029259.1_15945132,NC_029261.1_1543420,NC_029259.1_29080837,NC_029260.1_19143394,NC_029261.1_6356701,NC_029262.1_4528886,NC_029261.1_1543420
NC_029261.1_2035334,NC_029260.1_16364135,NC_029261.1_11864647,NC_029259.1_27542803,NC_029259.1_18718159,NC_029261.1_2035337,NC_029259.1_29218324,NC_029260.1_19961219,NC_029261.1_6521724,NC_029262.1_7541939,NC_029261.1_2035337
NC_029261.1_2856375,NC_029260.1_16615708,NC_029261.1_14533007,NC_029259.1_27814002,NC_029259.1_19471784,NC_029261.1_2856375,NC_029259.1_29287039,NC_029260.1_20117984,NC_029261.1_6848915,NC_029262.1_8541854,NC_029261.1_2856375
NC_029261.1_3811309,NC_029260.1_16788403,NC_029261.1_17290337,NC_029259.1_28018210,NC_029259.1_20122524,NC_029261.1_3811309,NC_029259.1_29603862,NC_029260.1_21633281,NC_029261.1_7384221,NC_029262.1_8545936,NC_029261.1_3811309
NC_029261.1_4729736,NC_029260.1_17983776,NC_029261.1_19697784,NC_029259.1_28289922,NC_029259.1_20906353,NC_029261.1_4093155,NC_029259.1_29639098,NC_029260.1_22056646,NC_029261.1_7690781,NC_029262.1_16258988,NC_029261.1_4093155
NC_029261.1_5294781,NC_029260.1_17989802,NC_029261.1_19875147,NC_029259.1_28739796,NC_029259.1_21249875,NC_029261.1_4729736,NC_029259.1_29870752,NC_029260.1_22646608,NC_029261.1_8042612,NC_029262.1_16346850,NC_029261.1_4729736
NC_029261.1_5711664,NC_029260.1_18695565,NC_029261.1_20717706,NC_029259.1_28903395,NC_029259.1_21635576,NC_029261.1_5138021,NC_029259.1_29941294,NC_029260.1_23257996,NC_029261.1_8316576,NC_029262.1_17676175,NC_029261.1_5138021
NC_029261.1_6151044,NC_029260.1_18960104,NC_029261.1_21010527,NC_029259.1_29218324,NC_029259.1_22000543,NC_029261.1_5711667,NC_029259.1_30320687,NC_029260.1_23528344,NC_029261.1_8356630,NC_029262.1_18059490,NC_029261.1_5711667
NC_029261.1_6356701,NC_029260.1_19041509,NC_029261.1_21359906,NC_029259.1_29603862,NC_029259.1_22039848,NC_029261.1_6151041,NC_029259.1_30513996,NC_029260.1_23730116,NC_029261.1_10089991,NC_029262.1_18616401,NC_029261.1_6151041
NC_029261.1_6521724,NC_029260.1_20301998,NC_029261.1_21360125,NC_029259.1_30320687,NC_029259.1_22423569,NC_029261.1_6356701,NC_029259.1_31387730,NC_029260.1_23730901,NC_029261.1_10360942,NC_029262.1_19446274,NC_029261.1_6356701
NC_029261.1_6848918,NC_029260.1_21321063,NC_029261.1_22646014,NC_029259.1_30513996,NC_029259.1_22883632,NC_029261.1_6521724,NC_029259.1_31674845,NC_029260.1_24878618,NC_029261.1_11558694,NC_029262.1_20587125,NC_029261.1_6521724
NC_029261.1_7240933,NC_029260.1_21678134,NC_029261.1_23126473,NC_029259.1_31677001,NC_029259.1_23002404,NC_029261.1_6848915,NC_029259.1_31677001,NC_029260.1_27073211,NC_029261.1_14196448,NC_029262.1_20612318,NC_029261.1_6848915
NC_029261.1_7628081,NC_029260.1_21742141,NC_029261.1_23150796,NC_029259.1_31904071,NC_029259.1_23338729,NC_029261.1_7690781,NC_029259.1_31710773,NC_029260.1_27123801,NC_029261.1_14533007,NC_029262.1_22525619,NC_029261.1_7690781
NC_029261.1_7673229,NC_029260.1_22027348,NC_029261.1_23535330,NC_029259.1_31997419,NC_029259.1_23571129,NC_029261.1_8042615,NC_029259.1_31997419,NC_029260.1_27810911,NC_029261.1_14790332,NC_029262.1_23220760,NC_029261.1_8042615
NC_029261.1_8171527,NC_029260.1_22645235,NC_029261.1_24358871,NC_029259.1_32326934,NC_029259.1_24925072,NC_029261.1_8356630,NC_029259.1_32326934,NC_029260.1_28384596,NC_029261.1_17106305,NC_029262.1_24315404,NC_029261.1_8356630
NC_029261.1_8187914,NC_029260.1_22936557,NC_029261.1_24594638,NC_029259.1_32766521,NC_029259.1_25028693,NC_029261.1_9978145,NC_029259.1_33017280,NC_029260.1_28592208,NC_029261.1_18886272,NC_029262.1_24752172,NC_029261.1_9978145
NC_029261.1_8972534,NC_029260.1_23257990,NC_029261.1_24736784,NC_029259.1_33017280,NC_029259.1_26016653,NC_029261.1_10089991,NC_029259.1_33094033,NC_029260.1_28811998,NC_029261.1_20717706,NC_029262.1_25319824,NC_029261.1_10089991
NC_029261.1_11143071,NC_029260.1_24430651,NC_029261.1_25002505,NC_029259.1_33189356,NC_029259.1_26226544,NC_029261.1_10360942,NC_029259.1_33164751,NC_029260.1_29636516,NC_029261.1_21010524,NC_029262.1_25542893,NC_029261.1_10360942
NC_029261.1_11552864,NC_029260.1_26247574,NC_029261.1_26083883,NC_029259.1_33507342,NC_029259.1_26423865,NC_029261.1_11552864,NC_029259.1_33507342,NC_029261.1_227472,NC_029261.1_21329799,NC_029262.1_26909813,NC_029261.1_11552864
NC_029261.1_14533007,NC_029260.1_27024731,NC_029261.1_26417517,NC_029259.1_33755373,NC_029259.1_27011584,NC_029261.1_11558694,NC_029259.1_33861549,NC_029261.1_986976,NC_029261.1_21359906,NC_029262.1_27443315,NC_029261.1_11558694
NC_029261.1_17290334,NC_029260.1_27519312,NC_029261.1_26626046,NC_029259.1_33861549,NC_029259.1_27056953,NC_029261.1_14533007,NC_029259.1_34363917,NC_029261.1_1543420,NC_029261.1_21891950,NC_029262.1_29154624,NC_029261.1_14533007
NC_029261.1_19875147,NC_029260.1_28151163,NC_029261.1_27840590,NC_029259.1_34052704,NC_029259.1_27129771,NC_029261.1_16569501,NC_029259.1_34374172,NC_029261.1_2035334,NC_029261.1_22646014,NC_029262.1_29460820,NC_029261.1_16569501
NC_029261.1_20709176,NC_029260.1_28878788,NC_029261.1_28586078,NC_029259.1_35244613,NC_029259.1_27512487,NC_029261.1_17106305,NC_029259.1_35045349,NC_029261.1_2856375,NC_029261.1_23126473,NC_029262.1_29484348,NC_029261.1_17106305
NC_029261.1_21861157,NC_029260.1_28927630,NC_029261.1_29048878,NC_029259.1_35422418,NC_029259.1_27782487,NC_029261.1_18886269,NC_029259.1_35244613,NC_029261.1_3811309,NC_029261.1_23373492,NC_029263.1_8652,NC_029261.1_18886269
NC_029261.1_22645405,NC_029261.1_844778,NC_029261.1_29405403,NC_029260.1_226599,NC_029259.1_28057246,NC_029261.1_20717706,NC_029260.1_226599,NC_029261.1_4093155,NC_029261.1_23535330,NC_029263.1_763040,NC_029261.1_20717706
NC_029261.1_23276129,NC_029261.1_986513,NC_029261.1_30049592,NC_029260.1_745152,NC_029259.1_28059607,NC_029261.1_21010524,NC_029260.1_646580,NC_029261.1_7240936,NC_029261.1_24358874,NC_029263.1_1015024,NC_029261.1_21010524
NC_029261.1_23340487,NC_029261.1_2035334,NC_029261.1_30293898,NC_029260.1_772693,NC_029259.1_28148000,NC_029261.1_21359909,NC_029260.1_772693,NC_029261.1_7628084,NC_029261.1_24594638,NC_029263.1_2252478,NC_029261.1_21359909
NC_029261.1_23535330,NC_029261.1_2856375,NC_029261.1_30450782,NC_029260.1_1441038,NC_029259.1_29120475,NC_029261.1_22182218,NC_029260.1_938989,NC_029261.1_11552864,NC_029261.1_24736784,NC_029263.1_2433354,NC_029261.1_22182218
NC_029261.1_23901085,NC_029261.1_3811309,NC_029261.1_31011987,NC_029260.1_1779799,NC_029259.1_29593706,NC_029261.1_23126473,NC_029260.1_1441038,NC_029261.1_14533007,NC_029261.1_25002508,NC_029263.1_4893418,NC_029261.1_23126473
NC_029261.1_24139317,NC_029261.1_3959137,NC_029261.1_31169518,NC_029260.1_2148360,NC_029259.1_30161417,NC_029261.1_23535330,NC_029260.1_2289996,NC_029261.1_17290334,NC_029261.1_25548023,NC_029263.1_8939726,NC_029261.1_23535330
NC_029261.1_24358871,NC_029261.1_4093155,NC_029262.1_734328,NC_029260.1_2156797,NC_029259.1_30513996,NC_029261.1_24358874,NC_029260.1_3759006,NC_029261.1_19875147,NC_029261.1_26030738,NC_029263.1_10729276,NC_029261.1_24358874
NC_029261.1_24594638,NC_029261.1_4635890,NC_029262.1_1035228,NC_029260.1_2292903,NC_029259.1_31426319,NC_029261.1_24736784,NC_029260.1_4164884,NC_029261.1_20709176,NC_029261.1_26083882,NC_029263.1_11774718,NC_029261.1_24736784
NC_029261.1_24736784,NC_029261.1_4729736,NC_029262.1_1246394,NC_029260.1_3849221,NC_029259.1_31924131,NC_029261.1_25002505,NC_029260.1_4248931,NC_029261.1_22646014,NC_029261.1_26084878,NC_029263.1_19456158,NC_029261.1_25002505
NC_029261.1_25002508,NC_029261.1_5204011,NC_029262.1_1765517,NC_029260.1_4249077,NC_029259.1_31930920,NC_029261.1_25121076,NC_029260.1_4249077,NC_029261.1_23126473,NC_029261.1_26417517,NC_029263.1_19671059,NC_029261.1_25121076
NC_029261.1_26019283,NC_029261.1_5541977,NC_029262.1_1788060,NC_029260.1_4687185,NC_029259.1_32169652,NC_029261.1_25941375,NC_029260.1_4691090,NC_029261.1_23164135,NC_029261.1_26615023,NC_029263.1_19840875,NC_029261.1_25941375
NC_029261.1_26084878,NC_029261.1_5711664,NC_029262.1_3202958,NC_029260.1_5370455,NC_029259.1_33304485,NC_029261.1_26397557,NC_029260.1_5370455,NC_029261.1_23535330,NC_029261.1_27840590,NC_029263.1_20130311,NC_029261.1_26397557
NC_029261.1_26095136,NC_029261.1_6151041,NC_029262.1_3667747,NC_029260.1_6164427,NC_029259.1_34367900,NC_029261.1_26521347,NC_029260.1_5809340,NC_029261.1_24234705,NC_029261.1_29048878,NC_029263.1_20628371,NC_029261.1_26521347
NC_029261.1_26417517,NC_029261.1_6356701,NC_029262.1_4019951,NC_029260.1_6604411,NC_029259.1_34687261,NC_029261.1_27025138,NC_029260.1_6164427,NC_029261.1_24358871,NC_029261.1_29405403,NC_029263.1_21038864,NC_029261.1_27025138
NC_029261.1_27453820,NC_029261.1_6521724,NC_029262.1_4031361,NC_029260.1_7498589,NC_029259.1_35076712,NC_029261.1_27249224,NC_029260.1_6840756,NC_029261.1_24594638,NC_029261.1_29654806,NC_029263.1_21236816,NC_029261.1_27249224
NC_029261.1_27840590,NC_029261.1_6699496,NC_029262.1_4049586,NC_029260.1_14154609,NC_029260.1_171252,NC_029261.1_29048878,NC_029260.1_13760182,NC_029261.1_24679451,NC_029261.1_29874552,NC_029263.1_21266283,NC_029261.1_29048878
NC_029261.1_29048878,NC_029261.1_6848915,NC_029262.1_4283790,NC_029260.1_14452334,NC_029260.1_334871,NC_029261.1_29405406,NC_029260.1_14154609,NC_029261.1_24738717,NC_029261.1_30049592,NC_029263.1_21303491,NC_029261.1_29405406
NC_029261.1_29051077,NC_029261.1_7043848,NC_029262.1_7003898,NC_029260.1_14654627,NC_029260.1_360471,NC_029261.1_29467373,NC_029260.1_14625557,NC_029261.1_25121076,NC_029261.1_30293898,NC_029263.1_21582221,NC_029261.1_29467373
NC_029261.1_29405403,NC_029261.1_7240933,NC_029262.1_7314673,NC_029260.1_14878343,NC_029260.1_898444,NC_029261.1_29874552,NC_029260.1_14652034,NC_029261.1_25941375,NC_029261.1_30450782,NC_029263.1_23289526,NC_029261.1_29874552
NC_029261.1_29643902,NC_029261.1_7628081,NC_029262.1_7544634,NC_029260.1_15210312,NC_029260.1_1076550,NC_029261.1_30293898,NC_029260.1_14654627,NC_029261.1_26397557,NC_029262.1_145648,NC_029263.1_23612059,NC_029261.1_30293898
NC_029261.1_29874552,NC_029261.1_11552864,NC_029262.1_7972040,NC_029260.1_15213005,NC_029260.1_2358836,NC_029261.1_30450782,NC_029260.1_14878346,NC_029261.1_27025138,NC_029262.1_788385,NC_029263.1_23621524,NC_029261.1_30450782
NC_029261.1_30049592,NC_029261.1_13968973,NC_029262.1_8879927,NC_029260.1_15488459,NC_029260.1_5370458,NC_029262.1_1246394,NC_029260.1_14878711,NC_029261.1_27249221,NC_029262.1_1246378,NC_029263.1_23643361,NC_029262.1_1246394
NC_029261.1_30450782,NC_029261.1_14533007,NC_029262.1_11852824,NC_029260.1_15586257,NC_029260.1_6164427,NC_029262.1_1552027,NC_029260.1_15210312,NC_029261.1_28915935,NC_029262.1_2675930,NC_029263.1_24175360,NC_029262.1_1552027
NC_029262.1_1246378,NC_029261.1_14650056,NC_029262.1_13481674,NC_029260.1_15698448,NC_029260.1_10671661,NC_029262.1_1711845,NC_029260.1_15213008,NC_029261.1_29756945,NC_029262.1_3238475,NC_029263.1_24622993,NC_029262.1_1711845
NC_029262.1_1788057,NC_029261.1_17290334,NC_029262.1_14975640,NC_029260.1_16084832,NC_029260.1_13959555,NC_029262.1_1765517,NC_029260.1_15488459,NC_029261.1_29801346,NC_029262.1_3667747,NC_029263.1_24881079,NC_029262.1_1765517
NC_029262.1_2243507,NC_029261.1_19875147,NC_029262.1_16023231,NC_029260.1_16364135,NC_029260.1_14154609,NC_029262.1_3667744,NC_029260.1_15586257,NC_029261.1_31117136,NC_029262.1_4019954,NC_029263.1_26430164,NC_029262.1_3667744
NC_029262.1_3469263,NC_029261.1_20709176,NC_029262.1_17125849,NC_029260.1_16615708,NC_029260.1_14625557,NC_029262.1_4019951,NC_029260.1_15698448,NC_029262.1_1246394,NC_029262.1_4049586,NC_029263.1_26492492,NC_029262.1_4019951
NC_029262.1_3580864,NC_029261.1_21010524,NC_029262.1_18616404,NC_029260.1_19961219,NC_029260.1_14652034,NC_029262.1_4031358,NC_029260.1_16355425,NC_029262.1_1765517,NC_029262.1_5387512,NC_029263.1_26602700,NC_029262.1_4031358
NC_029262.1_3981857,NC_029261.1_21359906,NC_029262.1_19446277,NC_029260.1_20117984,NC_029260.1_14654627,NC_029262.1_4049586,NC_029260.1_16364135,NC_029262.1_1788057,NC_029262.1_7541939,NC_029263.1_27152477,NC_029262.1_4049586
NC_029262.1_6130590,NC_029261.1_21805494,NC_029262.1_20587125,NC_029260.1_20192187,NC_029260.1_14657076,NC_029262.1_4283790,NC_029260.1_16615708,NC_029262.1_3580867,NC_029262.1_8541854,NC_029263.1_27345072,NC_029262.1_4283790
NC_029262.1_6376911,NC_029261.1_22181787,NC_029262.1_20615707,NC_029260.1_20591982,NC_029260.1_14878346,NC_029262.1_7314673,NC_029260.1_16788403,NC_029262.1_3981857,NC_029262.1_14533139,NC_029263.1_27491665,NC_029262.1_7314673
NC_029262.1_7541942,NC_029261.1_22646014,NC_029262.1_21376224,NC_029260.1_22027348,NC_029260.1_14878711,NC_029262.1_7972037,NC_029260.1_17697456,NC_029262.1_4097545,NC_029262.1_16258988,NC_029263.1_27839011,NC_029262.1_7972037
NC_029262.1_8128229,NC_029261.1_23126473,NC_029262.1_21402839,NC_029260.1_22056643,NC_029260.1_15210312,NC_029262.1_8879927,NC_029260.1_19143338,NC_029262.1_4116215,NC_029262.1_17125849,NC_029263.1_28049379,NC_029262.1_8879927
NC_029262.1_8541854,NC_029261.1_23535330,NC_029262.1_22060084,NC_029260.1_22526122,NC_029260.1_15488459,NC_029262.1_11852824,NC_029260.1_19728612,NC_029262.1_4563233,NC_029262.1_18920531,NC_029263.1_28264255,NC_029262.1_11852824
NC_029262.1_13285251,NC_029261.1_23734614,NC_029262.1_22679546,NC_029260.1_22646608,NC_029260.1_15586257,NC_029262.1_13481677,NC_029260.1_19873231,NC_029262.1_4596984,NC_029262.1_19010138,NC_029263.1_28359810,NC_029262.1_13481677
NC_029262.1_15650815,NC_029261.1_24358871,NC_029262.1_23009796,NC_029260.1_22917113,NC_029260.1_15698448,NC_029262.1_14975640,NC_029260.1_20301998,NC_029262.1_4795740,NC_029262.1_20152298,NC_029264.1_6735981,NC_029262.1_14975640
NC_029262.1_16258988,NC_029261.1_24736784,NC_029262.1_23272149,NC_029260.1_23257993,NC_029260.1_16355425,NC_029262.1_15322485,NC_029260.1_20563603,NC_029262.1_5489241,NC_029262.1_20204537,NC_029264.1_10338430,NC_029262.1_15322485
NC_029262.1_18616401,NC_029261.1_24906942,NC_029262.1_23559207,NC_029260.1_23730901,NC_029260.1_16364135,NC_029262.1_16023231,NC_029260.1_20833963,NC_029262.1_7314673,NC_029262.1_20615707,NC_029264.1_12538484,NC_029262.1_16023231
